Cluster;beer;beer_id;beer_type;A_malt_grain;A_malt_bread;A_malt_cara;A_malt_burn;A_hops_citrus;A_hops_tropical;A_hops_noble;A_hops_woody;A_esters_ethac;A_esters_isoaa;A_esters_flower;A_esters_fruity;F_malt_grain;F_malt_bread;F_malt_cara;F_malt_burn;F_hops_citrus;F_hops_tropical;F_hops_noble;F_hops_woody;F_esters_ethac;F_esters_isoaa;F_esters_flower;F_esters_fruity;acidity;bitternes;sweetness;X4vg;diacetyl;dms;metallic;stale_hops;t2n;orange;coriander;clove;lactic;acetic;barnyard;co2;overall
7;158;54107014;18;0,352356707;-0,084822944;-0,334441459;-0,385069853;0,16259721;-0,427416939;-0,413411014;-0,058224501;-0,140139312;-0,008628333;-0,356357279;0,092268673;-0,173264876;-0,241365479;-0,153991633;-0,195147277;0,018123216;-0,318139554;-0,748191572;-0,404319414;-0,042030403;-0,150091951;-0,268091392;-0,346927779;-0,684660951;-0,202160518;-0,545388531;-0,136635737;0,220760382;0,513027244;0,254612262;-0,354340222;0,736525413;0,034623805;-0,166094786;-0,202969443;-0,277969661;-0,260953251;-0,346278732;-0,424699101;34297248
7;136;54085176;11;0,114742249;-0,526030519;0,118263527;-0,044112955;-0,279698807;0,360380366;-0,04791951;-0,086187364;-0,025107655;0,73722939;-0,325070392;0,591780214;-0,061404263;-0,352343928;0,24661051;-0,489784166;-0,51325821;0,005177621;0,144306889;-0,484079168;-0,033168143;0,202746366;-0,385343773;-0,028753879;-0,295991511;-0,020828653;-0,314072571;-0,434653695;0,337134401;-0,358367006;0,004969599;-0,361025743;-0,488937098;0,424351338;1,506689123;0,193755631;-0,305115811;-0,262030858;-0,353126849;-0,42383814;-252203528
7;209;54085107;19;-0,311568467;-0,170390207;-0,403921398;-0,338415536;-0,3608912;-0,495285829;-0,331080846;-0,261930371;0,005764352;-0,455489928;-0,244207342;-0,426206638;0,010213244;-0,191120371;-0,427376469;-0,252579235;-0,309808538;-0,430393985;-0,414712762;-0,178674401;-0,386718577;-0,475933602;-0,257845938;-0,379794264;-0,515731833;0,472804089;-0,666729731;-0,326770719;0,71812447;1,663748448;-0,07129513;0,03050061;1,202104422;-0,003209718;-0,170907237;-0,211215031;-0,286260354;-0,237812464;0,035773635;-0,527851154;-10450514
7;206;54085015;12;-0,021413729;0,035445329;0,252766761;-0,360737803;0,191384639;-0,396648352;0,212056753;-0,388050711;0,232058986;0,0590775;-0,29532147;-0,171185175;-0,020963487;0,495430138;-0,521319044;0,192626839;-0,410506733;-0,29675718;-0,251444524;-0,229727866;0,159028139;-0,142189698;-0,278974393;-0,067101896;-0,380102803;-0,169869009;-0,383921012;-0,106759033;-0,455683931;-0,276391847;0,317570496;-0,38753494;-0,348340107;-0,246405648;-0,180678619;-0,220198636;-0,33198296;-0,29520557;-0,37825167;0,182683729;377594392
7;208;54079052;15;-0,270342293;-0,173671134;-0,241479559;-0,379303778;-0,450663539;-0,223997332;0,227037257;0,319854342;-0,335290185;-0,745665339;-0,275427097;-0,218669166;0,123200209;-0,372936973;-0,019697878;-0,502050606;-0,262800517;-0,309650477;0,139390934;-0,009385269;-0,555732566;-0,614942154;0,063188717;-0,203810264;-0,012724187;0,007526782;-0,194963337;-0,078645416;0,338825465;0,201534975;2,026226247;0,169543094;0,098824227;0,718875591;1,55118896;-0,076876054;-0,307014173;-0,278342102;0,178826363;1,028073705;-420977698
7;25;54079014;12;-0,184169048;-0,354782035;0,352942476;0,290051795;-0,381957884;-0,206500852;0,211078781;-0,152975184;-0,35348269;-0,380500398;-0,090295612;-0,003109784;-0,200821057;0,08510293;0,284484966;0,021433795;-0,327898513;-0,148692153;-0,014601813;-0,229727866;-0,112733509;-0,350242386;0,006612386;-0,178488302;-0,6080291;0,376212725;-0,241735119;-0,22965928;0,658729377;0,156030587;0,432770926;-0,092929424;-0,333727677;0,070291971;-0,180678619;-0,220198636;-0,33198296;-0,29520557;-0,063006357;0,582938115;674362028
7;198;54079007;22;0,749438737;-0,100957218;0,169537728;-0,371552201;-0,215837606;-0,163381117;-0,25342962;-0,197885492;0,158002036;0,043924433;0,411868808;-0,189350558;0,731395486;0,103318041;0,405041548;-0,220862674;0,007439314;-0,031190585;-0,338129726;-0,387646836;-0,542240965;-0,025493863;0,246106154;-0,134538166;-0,347114922;0,305648978;-0,145453342;-0,093177477;-0,148135407;-0,068749464;0,047146887;-0,344930298;0,306102589;-0,149478403;0,238953509;0,337669491;-0,307488368;-0,280143962;-0,336678503;0,294269943;46876583
7;218;54057142;19;0,07075918;-0,207857471;-0,31318065;-0,338415536;-0,033774139;-0,362091911;-0,56584931;-0,352724823;0,34901888;-0,20916737;-0,311066581;0,215803408;0,414622284;-0,216584173;-0,33336909;-0,359428305;-0,241592081;-0,293107834;-0,45870787;-0,3543939;-0,244775185;-0,32071166;-0,201519311;-0,035184953;-0,49343663;-0,046402188;-0,094408566;-0,259004412;0,169465792;0,800475317;1,148315872;0,249422407;1,053549131;-0,221194384;-0,170907237;-0,211215031;-0,286260354;-0,237812464;0,256826792;-0,729563277;-1382083
7;137;54057012;18;0,260903527;-0,03534566;0,717882517;-0,371552201;-0,285660488;-0,240377687;-0,199994843;-0,337560049;-0,05226367;0,048147164;-0,428042669;-0,05783264;0,850773227;0,422153696;-0,032832444;-0,352288675;-0,236653364;-0,292036281;-0,098214849;-0,387646836;-0,200494634;-0,18924566;-0,313884856;-0,286412959;-0,60210855;-0,621053771;-0,194417608;-0,528646331;0,248856016;0,270327604;-0,207773771;-0,344930298;0,602856667;-0,256073738;0,370914809;-0,218965058;-0,307488368;-0,280143962;-0,336678503;-0,378048264;-75903585
7;83;54055520;16;1,059832236;0,486691807;-0,554391142;-0,384539605;0,145775291;-0,491423993;-0,87961068;-0,166911899;-0,729831234;-0,389257764;-0,208540201;-0,493828058;0,546857564;-0,015854704;-0,192764473;-0,538200898;0,206203643;-0,360475463;-0,668518093;-0,513967839;-0,166951525;-0,195699052;-0,045852964;-0,262820289;-0,496049115;-1,368065002;0,736964215;-0,608348003;-0,341050064;0,090476519;-0,558389742;-0,366768402;-0,300363733;0,18010588;-0,21316822;-0,225152971;-0,314573857;-0,282148931;-0,357289729;-1,04561015;-934138161
7;160;54055438;15;-0,06061247;0,06101266;-0,55166984;-0,379303778;0,292257549;-0,414144832;-0,087925813;-0,129468117;-0,051590426;0,793429366;-0,457129433;0,050864981;0,198979151;-0,339955201;-0,528004537;-0,502050606;0,287475204;-0,309650477;-0,675118931;-0,425054147;-0,340263488;0,380766616;-0,297449026;-0,051606466;-0,620354832;-0,928398055;0,199704128;0,304159591;-0,164685834;-0,133683567;-0,062126215;-0,358735719;-0,187334452;0,272312632;0,034575025;-0,000143543;-0,307014173;-0,278342102;-0,349452449;-1,078654896;17288745
7;98;54055315;12;-0,490338093;-0,179556556;-0,07337308;0,348744979;-0,460508626;-0,396648352;-0,275125331;0,214232142;-0,716142879;-0,44586451;0,264986176;-0,540220028;-0,98088409;0,01106222;0,477508333;-0,005279371;-0,327898513;-0,29675718;-0,749584994;-0,304710291;-0,730822396;-0,427784191;0,062811409;-0,107098324;-0,321161268;-0,564428517;1,088542372;-0,162686284;0,466387303;0,046381276;-0,522793976;-0,211442002;0,307512592;0,113353609;-0,180678619;0,249461765;-0,33198296;-0,29520557;-0,202158733;-0,599763136;43938717
7;3;54055308;11;0,061125467;-0,275918374;-0,263200632;-0,126345257;-0,043959019;0,028339193;-0,443259749;-0,054926204;0,039159534;0,250788805;-0,010401041;-0,001806532;-0,084858073;-0,325373537;-0,361939649;-0,040256571;0,022342535;-0,066436804;-0,322832348;-0,076841028;0,376290669;0,441856472;-0,123095746;-0,231332545;0,05972145;-0,290686735;0,154614146;-0,131867305;0,296413415;-0,43352163;0,302998149;-0,260182821;0,130467547;-0,224174694;-0,1626491;-0,000715888;-0,33738911;-0,287612613;-0,248119333;-0,40651556;149526151
7;239;54055049;21;-0,234226324;-0,123038033;0,029560778;-0,2940446;-0,395912136;-0,221081263;0,052288727;-0,115458873;-0,497385043;-0,510773399;-0,390863393;-0,445084007;-0,288350759;-0,05199313;-0,128809397;-0,38487565;-0,067294962;-0,173692584;0,004844414;-0,302601557;-0,431055906;-0,296053165;-0,28092024;-0,257873905;-0,488983217;-0,188436031;0,300000346;-0,213456951;0,339920532;0,679018093;-0,376837345;-0,362477168;-0,090019602;-0,21880875;0,107311339;-0,105356595;-0,324601223;0,470837999;-0,3557257;-0,267495965;-271957998
